Content,Domain,Sentiment,Discrimination,,Channel
Former Governor Indrajit Coomaraswamy shedding light on the crucial role of the Central Bank in steering Sri Lanka’s economy at the Centre for Poverty Analysis Symposium. Exploring pathways for poverty alleviation in the midst of economic challenges. 💼🌐 #EconomicResilience #CentralBankInsights #PovertyAlleviation,None,Positive,Non Discriminative,,Social Media
"“Learning for lasting peace”

Did you know that education is not just a privilege, but a fundamental human right?

Currently, there are 250 million children out of school and 763 million adults are illiterate (UNESCO). Breaking the cycles of violence and poverty starts with education. Let us commit to creating an environment of education and learning each day when we are wishing “Happy International Day of Education”.

By empowering each other and others we gain the knowledge, values, attitudes and behaviours of agents of change and peace. Embrace the power of education of the public to promote positive change in a pluralistic society together with NPC! 🌍💡 

#InternationalDayofEducation #EducationForPeace #NPC",None,Positive,Non Discriminative,,Social Media
"At the United Nations Sri Lanka walk led by UNFPA Sri Lanka on 30 November, UNFPA Sri Lanka Representative Kunle Adeniyi spoke on the importance of collective action to prevent and end violence against women and girls. 

Remember, there is #NoExcuse4Violence!

UNFPA Asia and the Pacific UNFPA",Women,Positive,Non Discriminative,,Social Media
"Pregnant women with disabilities often face disparities in accessing healthcare compared to their nondisabled counterparts. They encounter barriers such as physical inaccessibility, lack of appropriate medical equipment, and limited availability of healthcare providers trained in disability inclusive care.

The Perinatal Society #SriLanka and UNFPA Sri Lanka held a panel discussion to raise awareness on inclusive healthcare practices for pregnant women with disabilities. Panelists discussed the importance of identifying policy and program level practices which are essential to ensuring equitable health care for all.",Women,Positive,Non Discriminative,,Social Media
"On International Day of Persons with Disabilities, UNFPA Sri Lanka highlights the harassment women and girls with a disability face. AKASA President, N G Kamalawathi on the importance of advocating for the rights of those at-risk of sexual gender based violence.

",Women,Positive,Non Discriminative,,Social Media
"𝗣𝗮𝗿𝘁𝗶𝗰𝗶𝗽𝗮𝗻𝘁𝘀 𝗙𝗲𝗲𝗱𝗯𝗮𝗰𝗸 𝗩𝗶𝗱𝗲𝗼 -   𝗧𝗵𝗲 𝗖𝗲𝗿𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗲 𝗖𝗼𝘂𝗿𝘀𝗲 𝗼𝗻 𝗘𝗹𝗲𝗰𝘁𝗶𝗼𝗻 𝗢𝗯𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝗼𝗻

CMEV successfully completed a six-month certificate course on election observation for 205 participants. This video is produced to share their experiences and thoughts about the course.  The course was an initiative to expand the horizon of election monitoring with innovative Digital technology. It also provided extensive knowledge of the Sri Lankan electoral system and its practices.

#CMEV #Election #Monitoring #Training",None,None,None,,Social Media
"කෙසෙල් කඳන් සහ ""අලිමාන"" භාවිතයෙන් පරිසර හිතකාමී කඩදාසි නිෂ්පාදන පුහුණු වැඩසටහන 2024 පෙබරවාරි 8 වන දින රිදීමාලියද්ද අඳාඋල්පත විහාරස්ථානයේදී පැවැත්විණි. රිදීමාලියද්දේ සමිති 9 ක් නියෝජනය කරමින් පැමිණි සාමාජිකයින් 35 දෙනෙකු පරිසර හිතකාමී කඩදාසි නිෂ්පාදනය පිළිබඳ පුහුණුව ලබා ගන්නා ලදී. කෘෂිකාර්මික/වන සම්පත් මත යැපෙමින් ජීවිකාවල නියැලෙන සහ අලි මිනිස් ගැටුමෙන් පීඩාවට පත් පුද්ගලයින් සඳහා මෙම පුහුණුව ලබා දෙන ලදී. මධ්‍යම පරිසර අධිකාරියේ සහ කාර්මික සංවර්ධන මණ්ඩලයේ, අතින් සාදන ලද කඩදාසි තාක්ෂණික උපදේශක වීරසේන හිනිඳුන මහතා විසින් පුහුණු වැඩසටහන මෙහෙයවන ලදී.

The training program on eco friendly paper production using banana trunk and ""Alimana"" was held at Andaulpatha ( අඳාඋල්පත) Temple Rideemaliyedda, on 8th of February 2024. 35 members representing 9 societies of Rideemaliyedda received training on eco-friendly paper production. This training was mainly focused on people who are engaged in agriculture/forest products based livelihoods and are suffering from Human elephant conflict. The training program was conducted by Mr.Weerasena Hiniduna technical consultant of the hand made paper, Central Environmental Authority and Industrial Development Board.

#ecofriendlypaperproduction #sustainablelivelihoods #humanelephantconflictmitigation",None,None,Non Discriminative,,Social Media
"#16DaysofActivism is a time to UNiTE to ACT NOW to End Violence Against Women & Girls. 

Over 300 people, inc. Govt., civil society, partners joined @UNSriLanka to walk in solidarity to take a stand against gender-based violence. 

There is #NoExcuse4Violence",Women,Positive,Non Discriminative,,Social Media
"With the Disaster Management Center, UNFPA Sri Lanka invited practitioners to share their knowledge and experiences of implementing the Handbook on Gender, Sexual and #GBV in Disasters. 

Launched in 2022, this handbook supports policymakers & response staff to implement essential actions during disasters that ensure the safety of communities, especially women and girls.",Women,Positive,Non Discriminative,,Social Media
"Prevention plays a central role in efforts to eradicate and remove the root causes of gender-based violence. 

UNFPA Sri Lanka joined with partners to emphasize the on the importance of investing in prevention efforts to ensure a violence free #SriLanka for women and girls.

United Nations Sri Lanka | Australian High Commission, Sri Lanka | High Commission of Canada to Sri Lanka and Maldives | European Union in Sri Lanka and the Maldives | Embassy of Japan in Sri Lanka | USAID Sri Lanka | UNFPA Asia and the Pacific | UNFPA",Women,Positive,Non Discriminative,,Social Media
"- 𝟖𝟎𝐭𝐡 𝐁𝐢𝐫𝐭𝐡𝐝𝐚𝐲 𝐨𝐟 𝐥𝐚𝐭𝐞 𝐃𝐫. 𝐍𝐞𝐞𝐥𝐚𝐧 𝐓𝐢𝐫𝐮𝐜𝐡𝐞𝐥𝐯𝐚𝐦. -
Today, we gathered to remember his legacy and honor his contributions by offering flowers at the memorial statue. 

Dr. Tiruchelvam was a legal visionary and a committed advocate of human rights and the rule of law. He believed that the law could and should be an instrument to secure civil rights, social and economic justice and that development should prioritise uplifting people’s lives.

He believed that ethno-religious pluralism and diversity should be celebrated rather than be suppressed. He studied political and other arrangements across the world, seeking inspiration and examples that provided for unity in diversity.

Law and Society Trust was founded by Dr. Neelan Tiruchelvam in June of 1982. He was a director of both the Law & Society Trust (LST) and the International Centre for Ethnic Studies (ICES), and a Senior Partner of Tiruchelvam Associates — a leading law firm in Sri Lanka.

Dr Tiruchelvam was assassinated by a Liberation Tigers of Tamil Eelam (LTTE) suicide bomber in July 1999. 

 #lawandsocietytrust #NeelanThiruchelvan #LegacyCelebration #Inspiration #birthday #lka",None,None,None,,Social Media
